text,link,depth
We are always on the lookout for outstanding people,https://www.ai21.com/,6
Check out our open positions,https://www.ai21.com/,6
Wordtune Read,https://www.ai21.com/,8
AI21 Studio,https://www.ai21.com/,8
About Us,https://www.ai21.com/,8
Contact Us,https://www.ai21.com/,8
Email Us,https://www.ai21.com/,9
"All Rights Reserved © AI21 Labs, 2023",https://www.ai21.com/,5
Terms of Use,https://www.ai21.com/,7
Privacy Policy,https://www.ai21.com/,7
Privacy Policy,https://www.ai21.com/privacy-policy,3
AI21 Studio,https://www.ai21.com/privacy-policy,10
Wordtune Read,https://www.ai21.com/privacy-policy,10
Ask RBG,https://www.ai21.com/privacy-policy,10
Start building,https://www.ai21.com/privacy-policy,7
Privacy Policy,https://www.ai21.com/privacy-policy,5
"This is the privacy policy (“Privacy Policy”) that governs how we, AI21 Labs Ltd. (“AI21”, “we”, “our” or “us”), use Personal Information (defined below) that we collect, receive and store about individuals in connection with the use of the website https://www.ai21.com/, and any other website that we operate (each, together with its sub-domains, content and services, a “Site”).",https://www.ai21.com/privacy-policy,5
"We do not ourselves host any of the services – all hosting is done by third party service providers that we engage. This means that data you provide us or that we collect from you (including any Personal Information, as defined below) – as further described in this Privacy Policy – is hosted with such third party service providers on servers that they own or control. Regardless of where such third party service providers are located (and some are located in the US), their servers may be located anywhere in the world (including the US). Your data may even be replicated across multiple servers located in multiple countries. So please be aware that you are consenting to your data being transferred to various third party service providers around the world (including the US).",https://www.ai21.com/privacy-policy,5
"We have implemented this Privacy Policy because your privacy, and the privacy of other users, is important to us. This Privacy Policy explains our online information practices and the choices you can make about the way your Personal Information is collected and used in connection with the Site. “Personal Information” means any information that may be used, either alone or in combination with other information, to personally identify an individual, including, but not limited to, a first and last name, an email address, a phone number, or other contact information.",https://www.ai21.com/privacy-policy,6
This Privacy Policy forms part of our Terms of Use which is available at,https://www.ai21.com/privacy-policy,6
(“Terms”). Any capitalized but undefined term in this Privacy Policy shall have the meaning given to it in the Terms.,https://www.ai21.com/privacy-policy,6
Terms of Use.,https://www.ai21.com/privacy-policy,7
"You are not legally obligated to provide us Personal Information, and you hereby confirm that providing us Personal Information is at your own free will. By using the Site, you consent to the terms of this Privacy Policy and to our collection, processing and sharing of Personal Information for the purposes set forth herein. If you do not agree to this Privacy Policy, please do not access or otherwise use the Site. We reserve the right, at our discretion, to change this Privacy Policy at any time. Such change will be effective ten (10) days following posting of the revised Privacy Policy on the Site, and your continued use of the Site thereafter means that you accept those changes.",https://www.ai21.com/privacy-policy,6
Consent and Modification.,https://www.ai21.com/privacy-policy,7
"We do not currently require you to provide Personal Information in order to have access to general information available on the Site. But, we do receive and/or collect Personal Information from you in the following ways:",https://www.ai21.com/privacy-policy,6
"If you send us a “Contact Us” request, whether by submitting an online form that we make available or by sending an email to an email address that we display, you may be required to provide us with certain information such as your name and email address.",https://www.ai21.com/privacy-policy,6
"We may make use of log files. The information inside the log files includes internet protocol (IP) addresses, type of browser, Internet Service Provider (ISP), date/time stamp, referring/exit pages, clicked pages and any other information your browser may send to us. We may use such information to analyze trends, administer the Site, track users’ movement around the Site, and gather demographic information.",https://www.ai21.com/privacy-policy,6
"Our Site may utilize “cookies”, anonymous identifiers and other tracking technologies in order to for us to provide our Site and present you with information that is customized for you. A “cookie” is a small text file that may be used, for example, to collect information about activity on the Site. Certain cookies and other technologies may serve to recall Personal Information, such as an IP address, previously indicated by a user. Most browsers allow you to control cookies, including whether or not to accept them and how to remove them. You may set most browsers to notify you if you receive a cookie, or you may choose to block cookies with your browser.",https://www.ai21.com/privacy-policy,6
"The Site may use a tool called “Google Analytics” to collect information about use of the Site. Google Analytics collects information such as how often users visit this site, what pages they visit when they do so, and what other sites they used prior to coming to this Site. We use the information we get from Google Analytics to maintain and improve the Site and our products. We do not combine the information collected through the use of Google Analytics with personally identifiable information. Google’s ability to use and share information collected by Google Analytics about your visits to this Site is restricted by the Google Analytics Terms of Service, available at",https://www.ai21.com/privacy-policy,6
", and the Google Privacy Policy, available at",https://www.ai21.com/privacy-policy,6
. You may learn more about how Google collects and processes data specifically in connection with Google Analytics at,https://www.ai21.com/privacy-policy,6
". You may prevent your data from being used by Google Analytics by downloading and installing the Google Analytics Opt-out Browser Add-on, available at",https://www.ai21.com/privacy-policy,6
What Personal Information We Collect and How We Collect It.,https://www.ai21.com/privacy-policy,7
‘Contact Us’ Information.,https://www.ai21.com/privacy-policy,7
Log Files.,https://www.ai21.com/privacy-policy,7
Cookies and Other Tracking Technologies.,https://www.ai21.com/privacy-policy,7
Google Analytics.,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
". If you submit or we collect Personal Information through the Site, then we may use such Personal Information in the following ways, via any applicable communication channel, including but not limited to communication via email.",https://www.ai21.com/privacy-policy,6
"5.1. We will use your Personal Information to provide and improve our Site, to send you marketing/advertisement communications that we believe may be of interest to you, to contact you in connection with the Site and certain programs or offerings that you may have registered for.",https://www.ai21.com/privacy-policy,6
5.2. We may use your designated email address to: (i) send you updates or news regarding the Site and our products; and/or (ii) respond to a “Contact Us” or administrative request.,https://www.ai21.com/privacy-policy,6
5.3. We may transfer your Personal Information to our local or foreign subsidiaries or affiliated companies for the purpose of storing or processing such information on our behalf. Such information may be transferred to other countries. We require that these parties agree to process such information in compliance with our Privacy Policy.,https://www.ai21.com/privacy-policy,6
"5.4. We may share your Personal Information with our third party service providers and partners, but only to assist us with our business operations and to provide our Site to you and other users. Such information may be transferred to other countries. We use commercially reasonable efforts to only engage or interact with third party service providers and partners that post a privacy policy governing their processing of Personal Information.",https://www.ai21.com/privacy-policy,6
"5.5. We may disclose your Personal Information or any information you submitted via the Site if we have a good faith belief that disclosure of such information is helpful or reasonably necessary to: (i) comply with any applicable law, regulation, legal process or governmental request; (ii) enforce our Terms, including investigations of potential violations thereof; (iii) detect, prevent, or otherwise address fraud or security issues; or (iv) protect against harm to the rights, property or safety of AI21, our users, yourself or the public.",https://www.ai21.com/privacy-policy,6
The Way We Use Personal Information,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
"We may use Anonymous Information (as defined below) or disclose it to third party service providers in order to improve our Site and enhance your experience with the Site. We may also disclose Anonymous Information (with or without compensation) to third parties, including advertisers and partners. “Anonymous Information” means information which does not enable identification of an individual user, such as aggregated information about the use of our Site.",https://www.ai21.com/privacy-policy,6
Use of Anonymous Information.,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
"You may choose not to receive future promotional, advertising, or other Site-related emails from us by selecting an unsubscribe link at the bottom of each email that we send. Please note that even if you opt out of receiving the foregoing emails, we may still send you a response to any “Contact Us” request as well as administrative emails (for example, in connection with a password reset request) that are necessary to facilitate your use of the Site.",https://www.ai21.com/privacy-policy,6
Opting Out.,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
"At all times, you may choose whether or not to provide or disclose Personal Information. If you choose not to provide mandatory Personal Information, you may still visit parts of the Site, but you may be unable to access certain options, programs, offers, and services that involve our interaction with you.",https://www.ai21.com/privacy-policy,6
 ,https://www.ai21.com/privacy-policy,7
"To the extent that you do provide us with Personal Information, we wish to maintain accurate Personal Information. If you would like to delete or correct any of your other Personal Information that we may be storing, you may submit an access request by sending an email to",https://www.ai21.com/privacy-policy,6
. Your email should include adequate details of your request.,https://www.ai21.com/privacy-policy,6
 ,https://www.ai21.com/privacy-policy,6
"The Site may enable you to interact with other third party websites that are not owned or controlled by us (each a “Third Party Service”). We are not responsible for the privacy practices or the content of such Third Party Services. Please be aware that Third Party Services may collect Personal Information from you. Accordingly, we encourage you to read the terms and conditions and privacy policy of each Third Party Service that you choose to use or interact with.",https://www.ai21.com/privacy-policy,6
Links to and Interaction with Third Party Products.,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
"The Site is not structured to attract children under the age of 18 years. Accordingly, we do not intend to collect Personal Information from anyone we know to be under 18 years. If we learn that we have collected Personal Information from a child under 18 years, we will delete that information as quickly as possible. If you believe that we might have any such information, please contact us at:",https://www.ai21.com/privacy-policy,6
Children’s Privacy.,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
"The security of Personal Information is important to us. We follow generally accepted industry standards, including the use of appropriate administrative, physical and technical safeguards, to protect the Personal Information submitted to us. However, no method of transmission over the Internet, or method of electronic storage, is 100% secure. Therefore, while we strive to use reasonable acceptable means to protect your Personal Information, we cannot guarantee its absolute security or confidentiality. If you have any questions about security on the service, you can contact us at:",https://www.ai21.com/privacy-policy,6
 ,https://www.ai21.com/privacy-policy,7
"In the event that we are acquired by or merged with a third party entity, or in the event of bankruptcy or a comparable event, we reserve the right to transfer or assign Personal Information in connection with the foregoing events.",https://www.ai21.com/privacy-policy,6
"Merger, Sale or Bankruptcy.",https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
"California Civil Code Section 1798.83 permits our customers who are California residents to request certain information regarding our disclosure of Personal Information to third parties for their direct marketing purposes. To make such a request, please send an email to:",https://www.ai21.com/privacy-policy,6
. Please note that we are only required to respond to one request per customer each year.,https://www.ai21.com/privacy-policy,6
California Privacy Rights.,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
We do not track consumers over time and across third party websites and therefore do not respond to Do Not Track signals. We do not allow third parties to collect personally identifiable information about an individual consumer’s online activities over time and across different web sites when a consumer uses the Site.,https://www.ai21.com/privacy-policy,6
Our California Do Not Track Notice.,https://www.ai21.com/privacy-policy,7
 ,https://www.ai21.com/privacy-policy,7
"We are committed to protecting your privacy. Protecting your privacy online is an evolving area, and we are constantly evolving our service to meet these demands. If you have any comments or questions regarding our Privacy Policy, or your Personal Information that we may be storing and using, please contact us at:",https://www.ai21.com/privacy-policy,6
 ,https://www.ai21.com/privacy-policy,5
Wordtune Read,https://www.ai21.com/privacy-policy,8
AI21 Studio,https://www.ai21.com/privacy-policy,8
About Us,https://www.ai21.com/privacy-policy,8
Contact Us,https://www.ai21.com/privacy-policy,8
Email Us,https://www.ai21.com/privacy-policy,9
"All Rights Reserved © AI21 Labs, 2023",https://www.ai21.com/privacy-policy,5
Terms of Use,https://www.ai21.com/privacy-policy,7
Privacy Policy,https://www.ai21.com/privacy-policy,7
Jump to Content,https://docs.ai21.com/docs/overview,9
Go to Playground,https://docs.ai21.com/docs/overview,9
API Reference,https://docs.ai21.com/docs/overview,14
Go to Playground,https://docs.ai21.com/docs/overview,13
API Key,https://docs.ai21.com/docs/overview,13
Log In,https://docs.ai21.com/docs/overview,13
API Key,https://docs.ai21.com/docs/overview,9
Log In,https://docs.ai21.com/docs/overview,9
API Reference,https://docs.ai21.com/docs/overview,11
Getting Started,https://docs.ai21.com/docs/overview,10
Key Concepts,https://docs.ai21.com/docs/overview,10
Large Language Models,https://docs.ai21.com/docs/overview,14
Tokenizer & Tokenization,https://docs.ai21.com/docs/overview,14
When Will a Language Model Stop Generating Text?,https://docs.ai21.com/docs/overview,14
Sampling From Language Models,https://docs.ai21.com/docs/overview,14
Prompt Engineering,https://docs.ai21.com/docs/overview,14
Special Tokens and Whitespaces,https://docs.ai21.com/docs/overview,16
Repetition Penalties,https://docs.ai21.com/docs/overview,16
Logit Bias,https://docs.ai21.com/docs/overview,16
Foundation Models,https://docs.ai21.com/docs/overview,10
Jurassic-2 Models,https://docs.ai21.com/docs/overview,14
Instruct Models,https://docs.ai21.com/docs/overview,14
Custom Models,https://docs.ai21.com/docs/overview,14
Jurassic-1 Models [Legacy],https://docs.ai21.com/docs/overview,14
Task-Specific APIs,https://docs.ai21.com/docs/overview,10
Task-Specific APIs Overview,https://docs.ai21.com/docs/overview,14
Paraphrase API,https://docs.ai21.com/docs/overview,14
Grammatical Error Corrections API,https://docs.ai21.com/docs/overview,14
Text Improvements API,https://docs.ai21.com/docs/overview,14
Summarize API,https://docs.ai21.com/docs/overview,14
Text Segmentation API,https://docs.ai21.com/docs/overview,14
Contextual Answers API [BETA],https://docs.ai21.com/docs/overview,14
How To...,https://docs.ai21.com/docs/overview,10
Build a Dataset,https://docs.ai21.com/docs/overview,14
Datasets: Best Practices,https://docs.ai21.com/docs/overview,16
Generating More Data Using AI21 Studio,https://docs.ai21.com/docs/overview,16
Tips: Building a Dataset,https://docs.ai21.com/docs/overview,16
Train a Custom Model,https://docs.ai21.com/docs/overview,14
Tips: Training a Custom Model,https://docs.ai21.com/docs/overview,16
Query your Custom Model,https://docs.ai21.com/docs/overview,14
Working with amazon sagemaker,https://docs.ai21.com/docs/overview,10
Python SDK - with Amazon SageMaker,https://docs.ai21.com/docs/overview,14
Choosing the Right Instance Type,https://docs.ai21.com/docs/overview,14
Responsible Use,https://docs.ai21.com/docs/overview,14
Safety Research,https://docs.ai21.com/docs/overview,14
Welcome to AI21 Studio! 🦖🦕,https://docs.ai21.com/docs/overview,12
"AI21 Studio is a platform that provides developers and businesses with top-tier natural language processing (NLP) solutions, powered by AI21 Labs’ state-of-the-art language models.",https://docs.ai21.com/docs/overview,11
"Our second-generation language model series, Jurassic-2, is now available for you to use. The Jurassic-2 family base includes LMs of different sizes - Jumbo, Grande, and Large, as well as instruction-tuned LMs of Grande and Jumbo. Jurassic-2 offers top-tier performance with significant improvements in quality and new capabilities like instruction-following.",https://docs.ai21.com/docs/overview,11
"Jurassic-2 supports various non-English languages, including Spanish, French, German, Portuguese, Italian, and Dutch, and offers up to 30% faster performance.",https://docs.ai21.com/docs/overview,11
"Using our Complete API, you can generate text completions for an input prompt. You can embed the API in your application or service, or use our interactive web environment to experiment with the models.",https://docs.ai21.com/docs/overview,11
"The Instruct models API makes it easy to add instruction-following functionality to your applications. Simply integrate the API into your service and input specific instructions for execution. Our Instruct models are already trained to handle your instructions, so no examples are needed. You can also test the models in our interactive web environment.",https://docs.ai21.com/docs/overview,11
"Our task-specific APIs offer plug-and-play capabilities that enable you to implement generative AI in your products in minutes. The first collection of task-specific APIs is the Wordtune API, giving you access to the language models behind Wordtune, AI21 Labs’ consumer-facing app that hosts tens of millions of users worldwide. The Wordtune API provides summarization, paraphrasing, grammatical error corrections, text improvement suggestions, and text segmentation.",https://docs.ai21.com/docs/overview,11
How can I start,https://docs.ai21.com/docs/overview,12
Create your account on AI21 Studio and start building with Jurassic-2. We offer flexible pay-as-you-go plans as well as a free trial with a generous amount of free credits to get you started.,https://docs.ai21.com/docs/overview,11
Updated about 1 month ago,https://docs.ai21.com/docs/overview,11
What’s Next,https://docs.ai21.com/docs/overview,12
Table of Contents,https://docs.ai21.com/docs/overview,13
Welcome to AI21 Studio! 🦖🦕,https://docs.ai21.com/docs/overview,15
How can I start,https://docs.ai21.com/docs/overview,17
"AI21 Labs partners with Amazon to offer top-performing, easily accessible foundation models",https://www.ai21.com/blog/announcing-amazon-partnership,3
AI21 Studio,https://www.ai21.com/blog/announcing-amazon-partnership,10
Wordtune Read,https://www.ai21.com/blog/announcing-amazon-partnership,10
Ask RBG,https://www.ai21.com/blog/announcing-amazon-partnership,10
Start building,https://www.ai21.com/blog/announcing-amazon-partnership,7
"AI21 Labs partners with Amazon to offer top-performing, easily accessible foundation models",https://www.ai21.com/blog/announcing-amazon-partnership,6
"AI21 Labs is extremely proud to announce a new strategic partnership with Amazon’s Bedrock, a new service offering customers an accessible way to build generative AI-powered apps via pre-trained models.",https://www.ai21.com/blog/announcing-amazon-partnership,6
AI21 Labs is one of a select few Large Language model providers partnering with Amazon on this exciting new service.,https://www.ai21.com/blog/announcing-amazon-partnership,6
"Customers, particularly from large organizations, often struggle with the implementation of foundation models, which can be a long and arduous process as it often requires extensive procurement, legal, information security, and technical integration efforts.",https://www.ai21.com/blog/announcing-amazon-partnership,6
"Through AI21 Labs’ partnership with Amazon, customers can bypass these processes to build and scale their own generative AI-driven applications with ease. Bedrock allows customers to seamlessly access, privately customize, integrate and consume our top-performing Jurassic-2 foundation models in their AWS environment without having to manage any infrastructure.",https://www.ai21.com/blog/announcing-amazon-partnership,6
"The Jurassic-2 series is one of the most cutting-edge foundation models available today, built to follow natural language instructions that include summarization, article and email writing, answering questions from a provided knowledge base, and more. Our models support English as well as several other languages including Spanish, French, German, Portuguese, Italian and Dutch.",https://www.ai21.com/blog/announcing-amazon-partnership,6
"Ori Goshen, AI21 Labs’ CEO, shared his thoughts on this partnership. “At AI21 Labs, we help businesses and developers use state-of-the-art language models with the goal of revolutionizing writing and reading experiences using generative AI and without requiring any natural language processing (NLP) expertise. We recently announced the Jurassic-2 family of models that offer best-in-class LLMs, bringing top-tier quality, flexibility, and high performance. We are excited about making Jurassic-2 models available through Amazon Bedrock because it enables developers to easily access Jurassic-2 without leaving their AWS environment and leverage the powerful generative text capabilities without worrying about managing the infrastructure. With the combination of Jurassic-2 models and Amazon Bedrock, developers can maximize the performance of language tasks while optimizing the cost thanks to the impressive zero-shot instruction-following capabilities and small footprint of Jurassic-2, and Bedrock’s cost-effective infrastructure.“",https://www.ai21.com/blog/announcing-amazon-partnership,6
"Today’s announcement further builds upon our partnership with AWS. In December, we jointly announced the integration of our models within Amazon's SageMaker platform. Jurassic-2’s availability on Bedrock now brings access to a wide range of builders who can easily consume our models through their Amazon cloud environment. We look forward to the continuation of this partnership as part of our mission to help businesses and developers revolutionize writing and reading experiences through the use of state-of-the art language models.",https://www.ai21.com/blog/announcing-amazon-partnership,6
ABOUT THE AUTHOR,https://www.ai21.com/blog/announcing-amazon-partnership,6
Enjoyed this?,https://www.ai21.com/blog/announcing-amazon-partnership,6
Stay up to date with the latest research and updates from AI21 Labs.,https://www.ai21.com/blog/announcing-amazon-partnership,6
Thank you! Your submission has been received!,https://www.ai21.com/blog/announcing-amazon-partnership,8
Oops! Something went wrong while submitting the form.,https://www.ai21.com/blog/announcing-amazon-partnership,8
Back to Blog,https://www.ai21.com/blog/announcing-amazon-partnership,10
"AI21 Labs partners with Amazon to offer top-performing, easily accessible foundation models",https://www.ai21.com/blog/announcing-amazon-partnership,8
MRKL Whitepaper,https://www.ai21.com/blog/announcing-amazon-partnership,9
Paper: Standing on the Shoulders of Giant Language Models,https://www.ai21.com/blog/announcing-amazon-partnership,9
Try for yourself,https://www.ai21.com/blog/announcing-amazon-partnership,9
Contact us for early access,https://www.ai21.com/blog/announcing-amazon-partnership,9
What is a MRKL system?,https://www.ai21.com/blog/announcing-amazon-partnership,8
"In August 2021 we released Jurassic-1, a 178B-parameter autoregressive language model. We’re thankful for the reception it got – over 10,000 developers signed up, and hundreds of commercial applications are in various stages of development. Mega models such as Jurassic-1, GPT-3 and others are indeed amazing, and open up exciting opportunities. But these models are also inherently limited. They can’t access your company database, don’t have access to current information (for example, latest COVID numbers or dollar-euro exchange rate), can’t reason (for example, their arithmetic capabilities don’t come close to that of an HP calculator from the 1970s), and are prohibitively expensive to update. A MRKL system such as Jurassic-X enjoys all the advantages of mega language models, with none of these disadvantages. Here’s how it works.",https://www.ai21.com/blog/announcing-amazon-partnership,8
"Compositive multi-expert problem: the list of “Green energy companies” is routed to Wiki API, “last month” dates are extracted from the calendar and “share prices” from the database. The “largest increase“ is computed by the calculator and finally, the answer is formatted by the language model.",https://www.ai21.com/blog/announcing-amazon-partnership,7
"There are of course many details and challenges in making all this work - training the discrete experts, smoothing the interface between them and the neural network, routing among the different modules, and more. To get a deeper sense for MRKL systems, how they fit in the technology landscape, and some of the technical challenges in implementing them, see our MRKL paper. For a deeper technical look at how to handle one of the implementation challenges, namely avoiding model explosion, see our paper on leveraging frozen mega LMs.",https://www.ai21.com/blog/announcing-amazon-partnership,8
A further look at the advantages of Jurassic-X,https://www.ai21.com/blog/announcing-amazon-partnership,8
"Even without diving into technical details, it’s easy to get a sense for the advantages of Jurassic-X. Here are some of the capabilities it offers, and how these can be used for practical applications.",https://www.ai21.com/blog/announcing-amazon-partnership,8
Reading and updating your databases in free language,https://www.ai21.com/blog/announcing-amazon-partnership,10
AI-assisted content generation on current affairs,https://www.ai21.com/blog/announcing-amazon-partnership,10
Performing simple and complex math operations.,https://www.ai21.com/blog/announcing-amazon-partnership,10
Decomposing multi-step problems,https://www.ai21.com/blog/announcing-amazon-partnership,10
"Access to continuously changing information (weather, currency exchange rates)",https://www.ai21.com/blog/announcing-amazon-partnership,10
Transparency and trust,https://www.ai21.com/blog/announcing-amazon-partnership,10
Reading and updating your database in free language,https://www.ai21.com/blog/announcing-amazon-partnership,8
"Language models are closed boxes which you can use, but not change. However, in many practical cases you would want to use the power of a language model to analyze information you possess - the supplies in your store, your company’s payroll, the grades in your school and more. Jurassic-X can connect to your databases so that you can ‘talk’ to your data to explore what you need-  “Find the cheapest Shampoo that has a rosy smell”, “Which computing stock increased the most in the last week?” and more. Furthermore, our system also enables joining several databases, and has the ability to update your database using free language (see figure below).",https://www.ai21.com/blog/announcing-amazon-partnership,8
"Jurassic-X enables you to plug in YOUR company's database (inventories, salary sheets, etc.) and extract information using free language",https://www.ai21.com/blog/announcing-amazon-partnership,7
AI-assisted text generation on current affairs,https://www.ai21.com/blog/announcing-amazon-partnership,8
"Language models can generate text, yet can not be used to create text on current affairs, because their vast knowledge (historic dates, world leaders and more) represents the world as it was when they were trained. This is clearly (and somewhat embarrassingly) demonstrated when three of the world’s leading language models (including our own Jurassic-1) still claim Donald Trump is the US president more than a year after Joe Biden was sworn into office. Jurassic-X solves this problem by simply plugging into resources such as Wikidata, providing it with continuous access to up-to-date knowledge. This opens up a new avenue for AI-assisted text generation on current affairs.",https://www.ai21.com/blog/announcing-amazon-partnership,8
Who is the president of the United States?,https://www.ai21.com/blog/announcing-amazon-partnership,7
Donald Trump,https://www.ai21.com/blog/announcing-amazon-partnership,10
Donald Trump,https://www.ai21.com/blog/announcing-amazon-partnership,10
Donald Trump,https://www.ai21.com/blog/announcing-amazon-partnership,10
Joe Biden,https://www.ai21.com/blog/announcing-amazon-partnership,10
Joe Biden is the,https://www.ai21.com/blog/announcing-amazon-partnership,10
46th and current,https://www.ai21.com/blog/announcing-amazon-partnership,10
Jurassic-X can assist in text generation on up-to-date events by combining a powerful language model with access to Wikidata,https://www.ai21.com/blog/announcing-amazon-partnership,7
Performing math operations,https://www.ai21.com/blog/announcing-amazon-partnership,8
"A 6 year old child learns math from rules, not only by memorizing examples. In contrast, language models are designed to learn from examples, and consequently are able to solve very basic math like 1-, 2-, and possibly 3- digit addition, but struggle with anything more complex. With increased training time, better data and larger models, the performance will improve, but will not reach the robustness of an HP calculator from the 1970s. Jurassic-X takes a different approach and calls upon a calculator whenever a math problem is identified by the router. The problem can be phrased in natural language and is converted by the language model to the format required by the calculator (numbers and math operations). The computation is performed and the answer is converted back into free language. Importantly (see example below) the process is made transparent to the user by revealing the computation performed, thus increasing the trust in the system. In contrast, language models provide answers which might seem reasonable, but are wrong, making them impractical to use.",https://www.ai21.com/blog/announcing-amazon-partnership,8
The company had 655400 shares which they divided equally among 94 employees. How many did each employee get?,https://www.ai21.com/blog/announcing-amazon-partnership,7
94 employees.,https://www.ai21.com/blog/announcing-amazon-partnership,10
Each employee got 7000 stocks,https://www.ai21.com/blog/announcing-amazon-partnership,10
(No answer provided),https://www.ai21.com/blog/announcing-amazon-partnership,10
X= 655400/94,https://www.ai21.com/blog/announcing-amazon-partnership,10
"Jurassic-X can answer non-trivial math operations which are phrased in natural language, made possible by the combination of a language model and a calculator",https://www.ai21.com/blog/announcing-amazon-partnership,7
"Solving simple questions might require multiple steps, for example - “Do more people live in Tel Aviv or in Berlin?” requires answering: i. What is the population of Tel-Aviv? ii. What is the population of Berlin? iii. Which is larger? This is a highly non-trivial process for a language model, and language models fail to answer this question (see example). Moreover, the user can’t know the process leading to the answers, hence is unable to trust them. Jurassic-X can decompose such problems into the basic questions, route each to the relevant expert, and put together an answer in free language. Importantly, Jurassic-X not only provides the correct answer but also displays the steps taken to reach it, increasing the trust in the system.",https://www.ai21.com/blog/announcing-amazon-partnership,8
Do more people live in Tel Aviv or in Berlin?,https://www.ai21.com/blog/announcing-amazon-partnership,7
There are more people living in Tel Aviv than in Berlin.,https://www.ai21.com/blog/announcing-amazon-partnership,10
Berlin and Tel Aviv are roughly the same size,https://www.ai21.com/blog/announcing-amazon-partnership,10
(First hit is a comparison between Tel Aviv and Berlin),https://www.ai21.com/blog/announcing-amazon-partnership,10
More people live in Berlin than in Tel-Aviv,https://www.ai21.com/blog/announcing-amazon-partnership,10
